out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
tsroof,1hr,K,Surface temperature roof,roof_surface_temperature,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tsgree,mon,K,Surface temperature green spaces,greenspaces_surface_temperature,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tsgree,day,K,Surface temperature green spaces,greenspaces_surface_temperature,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tsgree,1hr,K,Surface temperature green spaces,greenspaces_surface_temperature,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tsblue,mon,K,Surface temperature blue spaces,bluespaces_surface_temperature,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tsblue,day,K,Surface temperature blue spaces,bluespaces_surface_temperature,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tsblue,1hr,K,Surface temperature blue spaces,bluespaces_surface_temperature,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tascan,mon,K,Near-surface temperature within canyon,temperature_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tascan,day,K,Near-surface temperature within canyon,temperature_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
tascan,1hr,K,Near-surface temperature within canyon,temperature_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
hurscan,mon,%,Near-Surface Relative Humidity within canyon,relative_humidity_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
hurscan,day,%,Near-Surface Relative Humidity within canyon,relative_humidity_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
hurscan,1hr,%,Near-Surface Relative Humidity within canyon,relative_humidity_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
husscan,mon,1,Near-Surface Specific Humidity within canyon,specific_humidity_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
husscan,day,1,Near-Surface Specific Humidity within canyon,specific_humidity_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
husscan,1hr,1,Near-Surface Specific Humidity within canyon,specific_humidity_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
sfcWindcan,mon,m s-1,Near-Surface Wind Speed within canyon,wind_speed_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
sfcWindcan,day,m s-1,Near-Surface Wind Speed within canyon,wind_speed_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
sfcWindcan,1hr,m s-1,Near-Surface Wind Speed within canyon,wind_speed_canyon,URB-RCC,,area: time: point,area: areacella,,real,,,,,
ta50m,mon,K,Air Temperature at 50m,air_temperature,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
ta50m,day,K,Air Temperature at 50m,air_temperature,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
ta50m,1hr,K,Air Temperature at 50m,air_temperature,TIER1,requested for urban modeling,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
hus50m,mon,1,Specific Humidity at 50m,specific_humidity,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
hus50m,day,1,Specific Humidity at 50m,specific_humidity,TIER1,requested for urban modeling,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
hus50m,1hr,1,Specific Humidity at 50m,specific_humidity,TIER1,requested for urban modeling,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
ua50m,mon,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
ua50m,day,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
ua50m,1hr,m s-1,Eastward Wind at 50m,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
va50m,mon,m s-1,Northward Wind at 50m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
va50m,day,m s-1,Northward Wind at 50m,northward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time height50m,real,,,,,
va50m,1hr,m s-1,Northward Wind at 50m,northward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 height50m,real,,,,,
zmla,mon,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zmla,day,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zmla,1hr,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
